rel_time,rtt
2258.7429459095,1264.0
2258.9530329704285,1273.0
2259.1430599689484,1262.0
2259.3679990768433,1287.0
2259.583070039749,1296.0
2259.7829868793488,1296.0
2260.0005180835724,1310.0
2260.0979878902435,1207.0
2260.402955055237,1311.0
2260.4980130195618,1205.0
2260.702987909317,1209.0
2260.802967071533,1108.0
2261.1279649734497,1232.0
2261.3232209682465,1226.0
2261.528012037277,1231.0
2261.7280509471893,1230.0
2261.9831290245056,1280.0
2262.1780259609222,1275.0
2262.2580819129944,1151.0
2262.6129229068756,1306.0
2262.68296790123,1175.0
2263.0479850769043,1340.0
2263.093062877655,1184.0
2263.3829979896545,1274.0
2263.5830330848694,1273.0
2263.778035879135,1263.0
2263.983022928238,1269.0
2264.1880350112915,1273.0
2264.293032884598,1178.0
2264.497981071472,1179.0
2264.738018989563,1219.0
2264.847934961319,1127.0
2265.193094968796,1272.0
2265.6079440116882,1285.0
2265.808093070984,1284.0
2265.9380888938904,1211.0
2266.14311003685,1216.0
2266.337939977646,1207.0
2266.5331180095673,1202.0
2266.7430548667908,1208.0
2266.9380168914795,1203.0
2267.243020057678,1308.0
2267.343116044998,1207.0
2267.5556349754333,1218.0
2267.782945871353,1240.0
2267.9230349063873,1180.0
2268.228015899658,1280.0
2268.343039035797,1192.0
2268.643079996109,1290.0
2268.8479290008545,1293.0
2269.080626964569,1322.0
2269.1829838752747,1224.0
2269.3780069351196,1215.0
2269.583019018173,1220.0
2269.778002023697,1211.0
2269.983001947403,1217.0
2270.2080059051514,1241.0
2270.322944879532,1155.0
2270.4954800605774,1127.0
2270.773052930832,1204.0
2270.9679238796234,1198.0
2271.22296500206,1252.0
2271.41290807724,1241.0
2271.622931957245,1250.0
2271.817962884903,1244.0
2272.017967939377,1245.0
2272.133027076721,1155.0
2272.3430280685425,1164.0
2272.5429198741913,1164.0
2272.755578994751,1175.0
2272.9830639362335,1202.0
2273.202996969223,1221.0
2273.407924890518,1225.0
2273.6030628681183,1219.0
2273.8080570697784,1223.0
2274.00305891037,1218.0
2274.2479519844055,1255.0
2274.348093032837,1153.0
2274.667963027954,1273.0
2274.687889099121,1092.0
2275.3156690597534,1116.0
2275.4930188655853,1093.0
2275.8130700588226,1210.0
2276.0179529190063,1216.0
2276.2306699752808,1228.0
2276.448073863983,1237.0
2276.6608600616455,1249.0
2276.853194952011,1241.0
2277.0530500411987,1240.0
2277.2555890083313,1238.0
2277.4581639766693,1235.0
2277.7480750083923,1324.0
2277.768007040024,1144.0
2278.1280570030212,1304.0
2278.2286269664764,1204.0
2278.4330430030823,1208.0
2278.6279549598694,1202.0
2278.843050956726,1217.0
2279.043042898178,1217.0
2279.123116016388,1096.0
2279.5208399295807,1093.0
2279.6979598999023,1070.0
2279.938003063202,1107.0
2280.5380420684814,1103.0
2280.7729489803314,1138.0
2281.3880429267883,1149.0
2281.6029889583588,1160.0
2282.0980150699615,1254.0
2282.323026895523,1276.0
2282.522974014282,1272.0
2282.588059902191,1137.0
2282.8479750156403,1196.0
2282.94807100296,1093.0
2283.1530079841614,1094.0
2283.4130249023438,1154.0
2283.748053073883,1288.0
2283.85591006279,1195.0
2284.073030948639,1211.0
2284.173007965088,1111.0
2284.388125896454,1125.0
2284.603036880493,1139.0
2284.7880330085754,1121.0
2285.0830080509186,1216.0
2285.2130229473114,1142.0
2285.4878890514374,1217.0
2285.695568084717,1224.0
2285.9281120300293,1256.0
2286.128040075302,1255.0
2286.327959060669,1249.0
2286.523078918457,1244.0
2286.777930021286,1291.0
2286.8358359336853,1149.0
2287.1279470920563,1240.0
2287.227912902832,1139.0
2287.582899093628,1294.0
2287.68297791481,1193.0
2287.8955550193787,1204.0
2288.0829129219055,1191.0
2288.2255680561066,1131.0
2288.4878919124603,1193.0
2288.6280529499054,1125.0
2288.923127889633,1221.0
2289.0530960559845,1147.0
2289.353096008301,1247.0
2289.553113937378,1246.0
2289.7631180286407,1256.0
2289.8555059432983,1148.0
2290.137974023819,1227.0
2290.2580280303955,1147.0
2290.4431340694427,1128.0
2290.6829800605774,1167.0
2290.857925891876,1141.0
2291.098000049591,1181.0
2291.402993917465,1284.0
2291.522971868515,1204.0
2291.8029429912567,1284.0
2291.92054605484,1201.0
2292.2079639434814,1288.0
2292.3079109191895,1187.0
2292.5630168914795,1236.0
2292.7730650901794,1240.0
2292.8829669952393,1148.0
2293.2079389095306,1272.0
2293.3230440616608,1184.0
2293.6432309150696,1304.0
2293.7007060050964,1158.0
2294.2280230522156,1284.0
2294.337951898575,1191.0
2294.6330149173737,1286.0
2294.7329289913177,1182.0
2294.9530169963837,1202.0
2295.088047027588,1133.0
2295.3930320739746,1234.0
2295.497925043106,1139.0
2295.82297706604,1260.0
